Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify Registration SKP,Chrome 107.0.0.0,,,2023-02-07 21:39:52,2023-02-07 21:42:43,2m - 51.023s,PASSED
,,,,,,,
Test Cases/E2E_Test_SKP/Register_Ref_SKP,Chrome 107.0.0.0,,,2023-02-07 21:39:53,2023-02-07 21:42:43,2m - 50.848s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2023-02-07 21:39:53,2023-02-07 21:39:56,2.792s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2023-02-07 21:39:56,2023-02-07 21:39:56,0.168s,PASSED
"navigateToUrl(""https://eacademy-schwarzkopf-professional-com.ref.web.raqn.io/fr/fr/bienvenue/enregistrer.html/please-log-me-in"")",Chrome 107.0.0.0,,,2023-02-07 21:39:56,2023-02-07 21:39:58,2.058s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/button_Autoriser tous les cookies""))",Chrome 107.0.0.0,,,2023-02-07 21:39:58,2023-02-07 21:40:00,1.801s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/input""))",Chrome 107.0.0.0,,,2023-02-07 21:40:00,2023-02-07 21:40:34,33.915s,PASSED
RN = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 107.0.0.0,,,2023-02-07 21:40:34,2023-02-07 21:40:34,0.001s,PASSED
RN = Math.random() * 1000,Chrome 107.0.0.0,,,2023-02-07 21:40:34,2023-02-07 21:40:34,0.012s,PASSED
"setText(findTestObject(""Object Repository/Page_Senregistrer/input_E-mail_email""), ""dontobono+"" + RN + ""@gmail.com"")",Chrome 107.0.0.0,,,2023-02-07 21:40:34,2023-02-07 21:40:38,4.016s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Senregistrer/input_Mot de passe_password""), ""DwTTIjmC6TIdOW0tF9H0lw=="")",Chrome 107.0.0.0,,,2023-02-07 21:40:38,2023-02-07 21:40:40,2.011s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Senregistrer/input_Confirmer le mot de passe_passwordRetype""), ""DwTTIjmC6TIdOW0tF9H0lw=="")",Chrome 107.0.0.0,,,2023-02-07 21:40:40,2023-02-07 21:40:41,1.872s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Senregistrer/select_Mme.M.Div""), ""mr"", true)",Chrome 107.0.0.0,,,2023-02-07 21:40:41,2023-02-07 21:40:47,5.969s,PASSED
"setText(findTestObject(""Object Repository/Page_Senregistrer/input_Prnom_profile.firstName""), ""Bobby"")",Chrome 107.0.0.0,,,2023-02-07 21:40:47,2023-02-07 21:40:50,2.812s,PASSED
"setText(findTestObject(""Object Repository/Page_Senregistrer/input_Nom_profile.lastName""), ""Saputra"")",Chrome 107.0.0.0,,,2023-02-07 21:40:50,2023-02-07 21:40:51,0.868s,PASSED
"setText(findTestObject(""Page_Senregistrer/input_Date de naissance_local.birthday""), ""27/11/1980"")",Chrome 107.0.0.0,,,2023-02-07 21:40:51,2023-02-07 21:40:52,1.046s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Senregistrer/select_Propritaire de salonChane de salonsS_4b2a29""), ""salon_owner"", true)",Chrome 107.0.0.0,,,2023-02-07 21:40:52,2023-02-07 21:40:53,1.230s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/input_Nom du salon ou dnomination commercia_86907a""))",Chrome 107.0.0.0,,,2023-02-07 21:40:53,2023-02-07 21:40:54,0.497s,PASSED
"setText(findTestObject(""Object Repository/Page_Senregistrer/input_Nom du salon ou dnomination commercia_86907a""), ""test"")",Chrome 107.0.0.0,,,2023-02-07 21:40:54,2023-02-07 21:40:55,0.729s,PASSED
"setText(findTestObject(""Object Repository/Page_Senregistrer/input__data.SKP.ID""), ""1444669"")",Chrome 107.0.0.0,,,2023-02-07 21:40:55,2023-02-07 21:40:56,0.986s,PASSED
"setText(findTestObject(""Object Repository/Page_Senregistrer/input_Ligne dadresse 1_data.SKP.billingAddr_94b9a1""), ""42 rue Michel Ange"")",Chrome 107.0.0.0,,,2023-02-07 21:40:56,2023-02-07 21:40:57,1.077s,PASSED
"setText(findTestObject(""Object Repository/Page_Senregistrer/input_Ville_data.SKP.billingAddress.city""), ""Le Havre"")",Chrome 107.0.0.0,,,2023-02-07 21:40:57,2023-02-07 21:40:57,0.774s,PASSED
"setText(findTestObject(""Object Repository/Page_Senregistrer/input_Code postal_data.SKP.billingAddress.zip""), ""76610"")",Chrome 107.0.0.0,,,2023-02-07 21:40:57,2023-02-07 21:40:58,0.968s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/input_Pays_preferences.terms.HenkelSKPeAcad_dba1a9""))",Chrome 107.0.0.0,,,2023-02-07 21:40:58,2023-02-07 21:41:01,2.716s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/input_Prfrences de communication_subscripti_11c1ef""))",Chrome 107.0.0.0,,,2023-02-07 21:41:01,2023-02-07 21:41:04,2.563s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/input_Prfrences de communication_subscripti_c9f577""))",Chrome 107.0.0.0,,,2023-02-07 21:41:04,2023-02-07 21:41:22,18.141s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/input_Prfrences de communication_subscripti_0ddd69""))",Chrome 107.0.0.0,,,2023-02-07 21:41:22,2023-02-07 21:41:24,2.572s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/input_Prfrences de communication_gigya-inpu_cec64f""))",Chrome 107.0.0.0,,,2023-02-07 21:41:24,2023-02-07 21:41:27,2.578s,PASSED
getUrl(),Chrome 107.0.0.0,,,2023-02-07 21:41:27,2023-02-07 21:41:27,0.012s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Senregistrer/h2_Profitez des avantages de""), ""Profitez des avantages de"")",Chrome 107.0.0.0,,,2023-02-07 21:41:27,2023-02-07 21:41:28,0.686s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/input""))",Chrome 107.0.0.0,,,2023-02-07 21:41:28,2023-02-07 21:41:34,6.419s,PASSED
getUrl(),Chrome 107.0.0.0,,,2023-02-07 21:41:34,2023-02-07 21:41:34,0.036s,PASSED
"click(findTestObject(""Object Repository/Page_Senregistrer/heliux-grid_section-f47ba71989           --_0c9352""))",Chrome 107.0.0.0,,,2023-02-07 21:41:34,2023-02-07 21:42:43,1m - 9.063s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2023-02-07 21:42:43,2023-02-07 21:42:43,0.244s,PASSED
